"year","population","sportCatch","tribalCatchLim","tribalCatch","sportCatchLim","catchLim","catchTot","Estimate_R","Estimate_P","LowerValue_R","LowerValue_P","UpperValue_R","UpperValue_P","expansion","runSizeEst","runSizeUp","runSizeLow"
1957,"Quinalt",333,1919,2616,244.276376146789,2163.27637614679,2949,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,7474.63551226877,11018.354367731,5082.65153980013
1958,"Quillayute",2881.2,1819,2243,2336.55942933571,4155.55942933571,5124.2,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,23621.8257982281,33068.3095179948,17515.7944351498
1958,"Queets",375.6,2454,2822,326.620269312544,2780.62026931254,3197.6,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,13200.6201630017,21836.2260190082,8650.5940095765
1958,"Hoh",654,2311,2633,574.019749335359,2885.01974933536,3287,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,14639.9440471809,22894.2818322683,8295.56209517781
1958,"Quinalt",667.2,2094,2758,506.568817984046,2600.56881798405,3425.2,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,8985.58513065525,13245.6440194931,6110.07694293146
1959,"Quillayute",2918.6,1819,2118,2506.57856468366,4325.57856468366,5036.6,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,24588.2810892301,34421.255008794,18232.4296500798
1959,"Queets",302.4,2787,3184,264.694974874372,3051.69497487437,3486.4,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,14487.5108123329,23964.9771483911,9493.91564178938
1959,"Hoh",829.8,2221,2511,733.964874551971,2954.96487455197,3340.8,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,14994.8784353355,23449.3364068068,8496.68173382953
1959,"Quinalt",275.4,2618,2977,242.189183742022,2860.18918374202,3252.4,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,9882.63537675432,14567.9850862858,6720.05903598868
1960,"Quillayute",3718.4,1512,1512,3718.4,5230.4,5230.4,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,29731.6401692762,41621.4685517248,22046.2762647224
1960,"Queets",405,899,899,405,1304,1304,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,6190.56434369225,10240.3190550813,4056.78355760408
1960,"Hoh",868.2,2193,2193,868.2,3061.2,3061.2,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,15533.9653142946,24292.3728896779,8802.14934112967
1960,"Quinalt",388.2,4131,4226,379.473308092759,4510.47330809276,4614.2,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,15584.7603836279,22973.4831031066,10597.4272900993
